"","SMILES","E","HOMO-LUMO gap"
"1","CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C",177.577,4.3525116
"2","CC(=O)OC(CC(=O)O)C[N+](C)(C)C",185.735,7.5134973
"3","C1=CC(C(C(=C1)C(=O)O)O)O",98.605,4.5813477
"4","CC(CN)O",83.445,8.0348409
"5","C(C(=O)COP(=O)(O)O)N",90.877,5.74131
"6","C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl",66.867,4.9035141
"7","CCN1C=NC2=C1N=CN=C2N",112.553,5.4357417
"8","CCC(C)(C(C(=O)O)O)O",123.592,7.6321329
"9","C1(C(C(C(C(C1O)O)OP(=O)(O)O)O)O)O",150.99,8.2571466
"10","C1C(NC2=C(N1)NC(=NC2=O)N)CN(C=O)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O",301.165,3.3149943
"11","C(CCl)Cl",39.871,8.1785097
"12","C1=C(C=C(C(=C1O)O)O)O",79.143,5.7437589
"13","C1=CC(=C(C=C1Cl)Cl)Cl",50.074,5.8994001
"14","CCCCCC(=O)C=CC1C(CC(=O)C1CCCCCCC(=O)O)O",329.994,5.0550738
"15","CC12CCC(=O)CC1CCC3C2CCC4(C3CCC4O)C",304.012,6.0564018
"16","C1CCC(=O)NCCCCCC(=O)NCC1",224.904,7.2484719
"17","C1C=CC(=NC1C(=O)O)C(=O)O",95.13,4.6866504
"18","C(C(C(C(=O)C(=O)C(=O)O)O)O)O",104.32,4.584885
"19","C1=CC(=C(C(=C1)O)O)C(=O)O",83.018,4.5021666
"20","C1=CC(=C(C(=C1)O)O)CCC(=O)O",121.455,4.9552131
"21","CCC(C(=O)C)(C(=O)O)O",108.343,5.9921862
"22","CC(=O)C(C)(C(=O)O)O",89.468,5.9938188
"23","C(=CC(=C(C(=O)O)N)C(=O)O)C=O",98.151,3.6338955
"24","C(C(C(C1(C(N(C2C(N1O)C(=O)NC(=N2)N)O)O)O)O)O)O",207.196,5.6692035
"25","C(C(C(C1C(N(C2=C(N1)C(=O)N=C(N2)N)O)O)O)O)O",185.775,4.824333
"26","CC(=O)C(=O)C1=NC2C(N=C(NC2=O)N)N(C1O)O",151.203,3.5008386
"28","C(=CC(=O)O)C=C(C(=O)O)N",90.761,3.8904858
"29","C(=O)C(C(=O)O)N",60.629,5.4482583
"30","C(=CC=O)C=C(C(=O)O)N",86.89,3.733212
"31","CC(CO)(C(COP(=O)(O)O)O)O",139.004,8.3493885
"32","C(=CC(=O)O)C=C(C(=O)O)C(=O)O",90.432,4.1647626
"33","C(C=O)Cl",32.68,6.1461948
"34","C(CCl)O",48.391,8.1360621
"35","C1=CC(OC1=O)(CC(=O)O)Cl",74.053,5.6520612
"36","CC(C)C(C(C(=O)O)O)C(=O)O",131.555,6.9029049
"37","C(C(C(CO)O)O)C(=O)C(=O)O",116.532,4.7222955
"38","CC(C)(CO)C(=O)C(=O)O",108.659,5.5342419
"39","CC1(COC(=O)C1=O)C",90.067,4.59849
"40","C1C(C(C(OC1O)CO)O)O",128.529,7.975251
"41","CSCCC(=O)C(=COP(=O)(O)O)O",124.588,4.2613581
"42","C(CC(=O)O)C(=O)C=CC=C(C(=O)O)O",127.622,3.7601499
"43","C(CC(=O)O)C(C(=O)O)O",94.527,6.3736704
"45","C(C(=O)O)(C(=O)O)O",56.644,7.2881985
"46","C(C(C(COP(=O)(O)O)O)O)C(=O)C(=O)O",134.927,4.8131769
"47","CCC(C)C(=O)C(=O)O",105.42,4.8099117
"48","C(CC(=O)N)C(=O)C(=O)O",86.219,4.8357612
"49","CC(C)C(=O)C(=O)O",86.559,4.832496
"50","C(C(C(C(C(=O)C(=O)O)O)O)O)O",119.716,5.681448
"51","C(CC(=O)O)C(=O)C(=O)O",79.136,4.1157846
"58","CCC(=O)C(=O)O",67.751,4.9152144
"59","C(C(C(=O)O)OP(=O)(O)O)O",86.789,7.2392205
"61","C(C(C(=O)O)OP(=O)(O)O)OP(=O)(O)O",104.98,7.3578561
"62","C1=C(C(C=C(C1O)Cl)Cl)Cl",68.363,5.7037602
"63","CC(CC(C(=O)O)N)N",121.941,6.9619506
"64","C1=C(C(C=C(C1O)Cl)O)Cl",77.02,6.1987101
"65","C1=C(C(=CC(=C1Cl)O)Cl)O",61.971,5.1976542
"66","C1=CC(=C(C=C1Cl)O)Cl",58.719,5.7845739
"67","C(C(=O)C(C(C(=O)C(=O)O)O)O)O",104.114,4.5979458
"68","CC1(C(COP(=O)(OP(=O)(O1)O)O)O)CO",140.506,7.6054671
"69","CC(=O)C=CC=C(C(=O)O)O",97.31,4.1470761
"70","CC(C)CC(=O)C(=O)O",105.035,4.8773925
"71","C(CC(=O)C(=O)O)CC(=O)O",97.707,4.8496383
"72","C1=CC(=C(C=C1C(=O)O)O)O",83.559,5.180784
"73","C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)O)OP(=O)(O)O)O",206.207,5.4210483
"75","C(CN)C=O",68.285,5.8893324
"76","CC12CCC3C(C1CCC2=O)CC=C4C3(CCC(C4)O)C",288.587,5.923617
"77","CC(C)C(CC(=O)O)(C(=O)O)O",131.4,6.4757079
"78","C(C(C(=O)O)N)Cl",67.466,7.0590903
"79","C1=CC(=CN=C1)C#N",58.722,5.7804924
"80","C1C(C(C(=O)C=C1C(=O)O)O)O",102.001,4.3282947
"81","C(C(C(C(COP(=O)(O)O)O)O)O)C(=O)C(=O)O",156.732,4.927731
"82","C=C(C(=O)O)OC1CC(=CC(C1O)OP(=O)(O)O)C(=O)O",169.208,4.9982049
"85","C[N+](C)(C)CC(CC(=O)O)O",159.77,7.6332213
"86","C1=CC(=C(C(=C1)O)N)C(=O)O",92.014,4.5919596
"87","CC(CO)C(=O)O",83.235,7.5061506
"89","C1=CC(=C(C(=C1)O)N)C(=O)CC(C(=O)O)N",148.738,3.9734763
"91","C1=CC(=CC(=C1)O)CCC(=O)O",117.906,5.8444359
